Problem,Makespan_baseline,Makespan_algo,Gap_%,Feasible,AllServed,Construction_s,TS_s,Penalty_TW,Penalty_Cap,Penalty_Range,Penalty_Wait,Truck_paths,Drone_paths,Truck_working_time,Drone_working_time
10.20.3,6468.8684,5617.983,-13.1535,True,True,0.001,1.077,0.0,0.0,0.0,0.0,"[[[0, 1, 6, 2, 5, 3, 9, 7, 4, 0]]]","[[[0, 10, 8, 0]]]",[5617.983],[579.8781]
10.20.4,6469.0426,6338.558,-2.0171,True,True,0.001,1.098,0.0,0.0,0.0,0.0,"[[[0, 1, 2, 3, 6, 7, 9, 8, 10, 4, 0]]]","[[[0, 5, 0]]]",[6338.558],[423.1206]
12.5.1,722.7394,722.7394,-0.0,True,True,0.002,2.674,0.0,0.0,0.0,0.0,"[[[0, 7, 6, 12, 4, 10, 0]]]","[[[0, 3, 8, 2, 1, 0], [0, 5, 11, 9, 0]]]",[722.7394],[702.3621]
12.5.2,682.5606,682.5606,-0.0,True,True,0.002,2.012,0.0,0.0,0.0,0.0,"[[[0, 3, 7, 12, 2, 4, 10, 0]]]","[[[0, 8, 6, 11, 9, 1, 5, 0]]]",[678.4113],[682.5606]
12.5.3,1011.0698,1078.9235,6.7111,True,True,0.002,2.61,0.0,0.0,0.0,0.0,"[[[0, 4, 7, 5, 12, 10, 0]]]","[[[0, 2, 6, 9, 0], [0, 8, 1, 11, 0], [0, 3, 0]]]",[1078.9235],[1026.9819]
12.5.4,925.822,958.1463,3.4914,True,True,0.003,2.871,0.0,0.0,0.0,0.0,"[[[0, 1, 3, 11, 0]]]","[[[0, 7, 2, 12, 4, 0], [0, 9, 5, 10, 0], [0, 6, 8, 0]]]",[958.1463],[944.7614]
12.10.1,1669.857,1669.857,0.0,True,True,0.002,2.652,0.0,0.0,0.0,0.0,"[[[0, 4, 8, 6, 10, 5, 0]]]","[[[0, 12, 2, 0], [0, 11, 3, 7, 0], [0, 1, 9, 0]]]",[1590.2263],[1669.857]
12.10.2,1670.9122,1888.2794,13.0089,True,True,0.003,2.706,0.0,0.0,0.0,0.0,"[[[0, 11, 2, 7, 0]]]","[[[0, 4, 1, 3, 0], [0, 6, 9, 5, 0], [0, 8, 10, 12, 0]]]",[1888.2794],[1867.3492]
12.10.3,1788.4913,1788.4913,0.0,True,True,0.002,2.401,0.0,0.0,0.0,0.0,"[[[0, 2, 3, 6, 7, 0]]]","[[[0, 10, 5, 0], [0, 12, 8, 1, 0], [0, 11, 4, 9, 0]]]",[1783.6117],[1788.4913]
12.10.4,1719.9583,1719.9583,-0.0,True,True,0.002,2.494,0.0,0.0,0.0,0.0,"[[[0, 12, 8, 2, 9, 10, 0]]]","[[[0, 7, 1, 11, 0], [0, 4, 5, 0], [0, 3, 6, 0]]]",[1659.855],[1719.9583]
12.20.1,8240.6221,7219.0306,-12.397,True,True,0.001,1.873,0.0,0.0,0.0,0.0,"[[[0, 4, 11, 7, 2, 9, 6, 10, 12, 0]]]","[[[0, 3, 8, 0], [0, 1, 5, 0]]]",[7219.0306],[1222.7355]
12.20.2,8615.0909,7960.7332,-7.5955,True,True,0.001,1.977,0.0,0.0,0.0,0.0,"[[[0, 8, 7, 3, 9, 1, 4, 2, 12, 5, 11, 0]]]","[[[0, 6, 0], [0, 10, 0]]]",[7960.7332],[1162.186]
12.20.3,5974.0297,5030.1766,-15.7993,True,True,0.002,1.958,0.0,0.0,0.0,0.0,"[[[0, 3, 11, 9, 8, 7, 4, 5, 0]]]","[[[0, 2, 0], [0, 1, 10, 0], [0, 12, 6, 0]]]",[5030.1766],[1653.041]
12.20.4,7417.9968,7002.5374,-5.6007,True,True,0.001,1.669,0.0,0.0,0.0,0.0,"[[[0, 11, 7, 5, 10, 2, 12, 6, 8, 1, 4, 0]]]","[[[0, 3, 9, 0]]]",[7002.5374],[432.3708]
